UniqueTitle,Description,CountSubTitles,Min-MinRate,Max-MaxRate,SalaryMinMaxValid,MultipleSubtitles,PayType,PayPeriod,UnionCode,UnionName,BargUnit,BargDesc,TitleStatus
6021,SECRETARY (OFFICE OF BORO PRES,1,15000,18000,ValidSalary,SingleTitle,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
6399,CHAUFFEUR-ATTENDANT (DEPT OF C,1,18000,18000,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
20508,LABORATORY TECHNICIAN,1,17521,18615,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
81902,DEBRIS REMOVER,1,16259,18813,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
56060,JUNIOR SCHOOL-NEIGHBORHOOD WOR,2,18029,18817,ValidSalary,MultipleTitles,AnnualSalary,Annual,498,NEIGHBORHOOD WORKER BD ED DC37,DC37,District Council 37,ActiveTitle
HSLHN,P/T SCHOOL LUNCH HELPER,1,18002,18947,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5280,COMMUNITY PLANNING BOARD COORD,1,15737,19143,ValidSalary,SingleTitle,AnnualSalary,Annual,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,ActiveTitle
HSSLN,P/T SR. SCHOOL LUNCH HELPER,1,18345,19310,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
RACLN,F/T ASSISTANT COOK,1,18345,19310,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
RCKLN,F/T COOK,1,18345,19310,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
RHDLN,F/T HEAVY DUTY,1,18345,19310,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
40490,RETIREMENT BENEFITS EXAMINING,1,19325,19325,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
54503,SCHOOL LUNCH AIDE,2,18688,19347,ValidSalary,MultipleTitles,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
82205,SCHOOL AIDE,1,18688,19347,ValidSalary,SingleTitle,AnnualSalary,Annual,672,BOE NON-MANAGERIAL/NON-COMPETI,N/U,Non-Union,ActiveTitle
5450C,SCHOOL LUNCH AIDE,1,18688,19347,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
2645,BOARD OF EDUCATION,1,0,0,ZeroMinMax,SingleTitle,NoSalListed,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
2852,BOARD OF EDUCATION,1,0,0,ZeroMinMax,SingleTitle,NoSalListed,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
11505,*BOOKEEPING MACHINE OPERATOR,1,16103,19505,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
53056,EMERGENCY MEDICAL SERVICE CADE,2,19602,19602,ValidSalary,MultipleTitles,AnnualSalary,Annual,137,"EMS L2507, L3621 - DC37",DC37,District Council 37,ActiveTitle
54501,SCHOOL LUNCH HELPER,1,18857,19847,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5450A,*SCHOOL LUNCH HELPER,1,18857,19847,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5038,COMMUNITY PLANNING BOARD COORD,1,16487,19893,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
5480,CHAUFFEUR ATTENDANT (DEPARTMEN,1,18000,20000,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6242,EXECUTIVE ASSISTANT TO THE FIR,1,18000,20000,ValidSalary,SingleTitle,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
4840,SIGN LANGUAGE INTERPRETER (NO,24,18,32,ValidSalary,MultipleTitles,HourlySalary,Annual,992,UNCLASSIFIED NON OJ & NON MANA,N/U,Non-Union,DeletedTitle
82000,ELEV MECHANIC'S HELPER TRAINEE,1,20089,20089,ValidSalary,SingleTitle,AnnualSalary,Annual,145,ELEVATOR MECHANICS (220) L237,IBT,Intl Brotherhood of Teamsters,ActiveTitle
HSRAN,P/T RECREATION ASSISTANT,1,19294,20114,ValidSalary,SingleTitle,AnnualSalary,Annual,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,ActiveTitle
RSRAN,F/T RECREATION ASSISTANT,1,19294,20114,ValidSalary,SingleTitle,AnnualSalary,Annual,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,ActiveTitle
54502,SENIOR SCHOOL LUNCH HELPER,2,19216,20227,ValidSalary,MultipleTitles,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5450B,SENIOR SCHOOL LUNCH HELPER,1,19216,20227,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
30759,RENT EXAMINER TRAINEE,1,19661,20442,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
54504,SENIOR SCHOOL LUNCH AIDE,2,19713,20841,ValidSalary,MultipleTitles,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5450D,SENIOR SCHOOL LNCH AIDE,1,19713,20841,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
6022,ASST PROJECT PLANNER (OFFICE O,1,17500,21000,ValidSalary,SingleTitle,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
10102,COLLEGE ASSISTANT (NO LEAVE AC,6,10850,21140,ValidSalary,MultipleTitles,AnnualSalary,Annual,992,UNCLASSIFIED NON OJ & NON MANA,N/U,Non-Union,ActiveTitle
12868,SECRETARY TO ONE DEPUTY COMMIS,1,16693,21361,ValidSalary,SingleTitle,AnnualSalary,Annual,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,ActiveTitle
60221,ASSISTANT ARCHIVIST,1,16080,21408,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
82022,REAL ESTATE REPAIRER (DCAS),1,20010,21443,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
82111,REAL ESTATE REPAIRER (DCAS),1,20010,21443,ValidSalary,SingleTitle,AnnualSalary,Annual,133,REAL ESTATE TITLES DC387,DC37,District Council 37,ActiveTitle
6041,LICENSED PRACTICAL NURSE (DEPT,1,18876,21490,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
54512,SENIOR SCHOOL LUNCH AIDE (COOK,2,20414,21491,ValidSalary,MultipleTitles,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5451A,SENIOR SCHOOL LUNCH AIDE (COOK,1,20414,21491,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
94369,TEMPORARY CLERK (CITY COUNCIL),1,20681,21595,ValidSalary,SingleTitle,AnnualSalary,Annual,664,UNCLASSIFIED OJ,N/U,Non-Union,ActiveTitle
56061,SCHOOL-NEIGHBORHOOD WORKER,2,21916,21916,ValidSalary,MultipleTitles,AnnualSalary,Annual,498,NEIGHBORHOOD WORKER BD ED DC37,DC37,District Council 37,ActiveTitle
54505,SCHOOL LUNCH ASSISTANT,2,20705,22052,ValidSalary,MultipleTitles,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5450E,SCHOOL LUNCH ASSISTANT,1,20705,22052,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
1820,SECRETARY,2,17512,22139,ValidSalary,MultipleTitles,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
90717,THIS IS AN ERROR,1,22175,22175,ValidSalary,SingleTitle,AnnualSalary,Annual,148,HARNESS MAKERS (220) L237 IBT,IBT,Intl Brotherhood of Teamsters,ActiveTitle
82021,ASSISTANT REAL ESTATE REPAIRER,1,18322,22378,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
82110,ASSISTANT REAL ESTATE REPAIRER,1,18322,22378,ValidSalary,SingleTitle,AnnualSalary,Annual,133,REAL ESTATE TITLES DC387,DC37,District Council 37,ActiveTitle
56001,HUMAN RESOURCES AIDE,1,19834,22381,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
54513,SCHOOL LUNCH ASSISTANT COOK,2,21707,22855,ValidSalary,MultipleTitles,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
5451B,SCHOOL LUNCH ASSISTANT COOK,1,21707,22855,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
10113,*CLERK (COMMUNITY ACTION ACTIV,1,18942,22942,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
91405,CITY SERVICE AIDE,16,10494,23000,ValidSalary,MultipleTitles,AnnualSalary,Annual,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,ActiveTitle
90201,POLICE ATTENDENT (FEMALE),1,23811,23811,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
41119,THIS IS A MISTAKE,1,23303,24403,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
90737,SCHOOL EQUIPMENT MAINTAINER,1,24629,24629,ValidSalary,SingleTitle,AnnualSalary,Annual,412,GENL SERVICE EMPL BD ED DC37,DC37,District Council 37,ActiveTitle
94481,DISTRICTING COMMISSION OFFICE,1,15826,24800,ValidSalary,SingleTitle,AnnualSalary,Annual,992,UNCLASSIFIED NON OJ & NON MANA,N/U,Non-Union,ActiveTitle
12893,SECRETARY TO THE BOARD OF ETHI,1,24870,24870,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6133,PROJECT ASSISTANT (DEPT OF PER,1,19637,24872,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
1254,CHIEF OFFICE ASSISTANT,2,18932,24983,ValidSalary,MultipleTitles,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
1356,CONFIDENTIAL SECRETARY,2,19405,24983,ValidSalary,MultipleTitles,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
1866,SENIOR SECRETARY,2,18932,24983,ValidSalary,MultipleTitles,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6107,STUDENT LEGAL SPECIALIST (COMM,1,24999,24999,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
5168,CHAUFFEUR-ATTENDANT (BKLYN BOR,2,17069,25000,ValidSalary,MultipleTitles,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
5234,CHAUFFEUR-ATTENDANT (BORO PRES,2,17069,25000,ValidSalary,MultipleTitles,AnnualSalary,Annual,665,TEMPORARY OJ,N/U,Non-Union,ActiveTitle
6349,ADMINISTRATIVE AIDE (CHARTER R,1,15000,25000,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
9907,COMMUNITY SERVICE AIDE (SENIOR,2,24055,25125,ValidSalary,MultipleTitles,AnnualSalary,Annual,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,ActiveTitle
5431,DIETARY AIDE (HA),1,20828,25467,ValidSalary,SingleTitle,AnnualSalary,Annual,620,NON COMPETITIVE OJ (HA),N/U,Non-Union,ActiveTitle
6172,STUDENT LEGAL ASSISTANT (DOP),1,20606,25558,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6186,STUDENT LEGAL ASSISTANT (DOI),1,20606,25558,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
5056,ASSISTANT EDUCATIONAL COUNSELO,1,21512,25636,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
5605D,COMMUNITY ASSISTANT (DOE),1,22907,25839,ValidSalary,SingleTitle,AnnualSalary,Annual,498,NEIGHBORHOOD WORKER BD ED DC37,DC37,District Council 37,ActiveTitle
56062,SENIOR SCHOOL-NEIGHBORHOOD WOR,2,26058,26058,ValidSalary,MultipleTitles,AnnualSalary,Annual,498,NEIGHBORHOOD WORKER BD ED DC37,DC37,District Council 37,ActiveTitle
52400,PUBLIC SERVICE INTERNE,1,26088,26088,ValidSalary,SingleTitle,AnnualSalary,Annual,662,NON COMPETITIVE OJ,N/U,Non-Union,ActiveTitle
54511,SCHOOL LUNCH LOADER AND HANDLE,1,26267,26267,ValidSalary,SingleTitle,AnnualSalary,Annual,408,SCH LUNCH EMPL BD ED DC37 L372,DC37,District Council 37,ActiveTitle
6666,CHAUFFER-ATTENDANT (DCAS),1,24440,26529,ValidSalary,SingleTitle,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
52604,THIS IS A MISTAKE,1,19742,26621,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
9606,COMMUNITY PLANNING BOARD COORD,1,22101,26660,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
90719,HARNESS MAKER,1,26956,26956,ValidSalary,SingleTitle,AnnualSalary,Annual,148,HARNESS MAKERS (220) L237 IBT,IBT,Intl Brotherhood of Teamsters,ActiveTitle
6514,CHAUFFER ATTENDANT (SANTITATIO,1,27000,27000,ValidSalary,SingleTitle,AnnualSalary,Annual,665,TEMPORARY OJ,N/U,Non-Union,ActiveTitle
20112,*ASSISTANT ENGINEERING TECHNIC,1,24113,27290,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
90750,WINDOW SHADE REPAIRER,1,25074,27386,ValidSalary,SingleTitle,AnnualSalary,Annual,412,GENL SERVICE EMPL BD ED DC37,DC37,District Council 37,ActiveTitle
6313,INTERPRETER (PART-TIME-BOARD O,1,23294,27405,ValidSalary,SingleTitle,AnnualSalary,Annual,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,ActiveTitle
80029,THIS IS A MISTAKE,1,21358,27475,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
1026B,CALL CENTER REPRESENTATIVE (LO,1,22768,27576,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
94376,PRINCIPAL STOREKEEPER (BOARD O,1,20271,27675,ValidSalary,SingleTitle,AnnualSalary,Annual,47,SPECIAL OFFICERS L237 IBT,IBT,Intl Brotherhood of Teamsters,ActiveTitle
AREPP,ANNUAL ED PARA,1,18203,27746,ValidSalary,SingleTitle,AnnualSalary,Annual,401,UFT,UFT,United Federation of Teachers,ActiveTitle
ARTAP,TEACHER AIDE,1,18203,27746,ValidSalary,SingleTitle,AnnualSalary,Annual,401,UFT,UFT,United Federation of Teachers,ActiveTitle
80601,JUNIOR BUILDING CUSTODIAN,2,22335,27849,ValidSalary,MultipleTitles,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6515,LAGUARDIA FELLOW (DOP),1,28000,28000,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
12602,LAGUARDIA FELLOW (DOP),1,28000,28000,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
1026C,CALL CENTER REPRESENTATIVE (LO,1,25116,28331,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
30760,RENT EXAMINER,1,21277,28349,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
54410,*SCHOOL LUNCH MANAGER,1,25333,28422,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
1437,DECEDENT PROPERTY AGENT,1,21289,28468,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
12722,ASSISTANT ANALYST (LABOR RELAT,1,25000,28500,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
12723,ASSISTANT ANALYST (BD OF EDUCA,1,25000,28500,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
21508,LABORATORY TECHICIAN,1,26903,28579,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
60608,BROADCAST TRAFFIC ASSISTANT,2,22382,28595,ValidSalary,MultipleTitles,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
33762,SENIOR SERVICE INSPECTOR (BD O,1,24209,28629,ValidSalary,SingleTitle,AnnualSalary,Annual,56,INSPECTORS (HIGHWAYS AND SEWER,PRBD,Pavers & Road Builders DC,ActiveTitle
60222,ARCHIVIST,1,22937,28658,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
60619,PROGRAM PRODUCTION ASSISTANT (,1,25717,28793,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
56063,PRINCIPAL SCHOOL-NEIGHBORHOOD,1,28911,28911,ValidSalary,SingleTitle,AnnualSalary,Annual,498,NEIGHBORHOOD WORKER BD ED DC37,DC37,District Council 37,ActiveTitle
12832,SECRETARY TO COMMUNITY SCHOOL,1,21864,28962,ValidSalary,SingleTitle,AnnualSalary,Annual,662,NON COMPETITIVE OJ,N/U,Non-Union,ActiveTitle
28105,THIS IS A MISTAKE,1,24459,29103,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
5242,HEALTH SERVICE AIDE,1,0,0,ZeroMinMax,SingleTitle,NoSalListed,Annual,671,BOE NON-MANAGERIAL/TEMPORARY,N/U,Non-Union,ActiveTitle
5312,EXAMINER OF ACCOUNTS (FINANCE),1,29179,29179,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
6469,INSTITUTIONAL AIDE (CORRECTION,1,26402,29249,ValidSalary,SingleTitle,AnnualSalary,Annual,127,INSTITUTIONAL SERVICE TITLES D,DC37,District Council 37,ActiveTitle
94209,INSPECTOR (BOARD OF ELECTIONS),1,29323,29323,ValidSalary,SingleTitle,AnnualSalary,Annual,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,ActiveTitle
94212,ATTENDANT (BOARD OF ELECTIONS),1,29323,29323,ValidSalary,SingleTitle,AnnualSalary,Annual,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,ActiveTitle
94213,TYPIST (BOARD OF ELECTIONS),1,29323,29323,ValidSalary,SingleTitle,AnnualSalary,Annual,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,ActiveTitle
94216,CLERK TO THE BOARD (BOARD OF E,1,29323,29323,ValidSalary,SingleTitle,AnnualSalary,Annual,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,ActiveTitle
94218,TABULATOR OPERATOR (BOARD OF E,1,29323,29323,ValidSalary,SingleTitle,AnnualSalary,Annual,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,ActiveTitle
94219,SENIOR TABULATOR OPERATOR (BOA,1,29323,29323,ValidSalary,SingleTitle,AnnualSalary,Annual,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,ActiveTitle
53052,EMERGENCY MEDICAL SPECIALIST T,2,29456,29456,ValidSalary,MultipleTitles,AnnualSalary,Annual,137,"EMS L2507, L3621 - DC37",DC37,District Council 37,ActiveTitle
53770,*MEDICAL OFFICER (DEPARTMENT O,1,29687,29687,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
90643,CITY PEST CONTROL AIDE,2,27667,29703,ValidSalary,MultipleTitles,AnnualSalary,Annual,132,"NON SUPERVISORY MAINTENANCE, S",DC37,District Council 37,ActiveTitle
52406,COMMUNITY SERVICE AIDE,15,28469,29735,ValidSalary,MultipleTitles,AnnualSalary,Annual,3,SOCIAL SERVICE TITLES DC 37L37,DC37,District Council 37,ActiveTitle
10633,SENIOR HOUSING TELLER (HA),1,22916,29802,ValidSalary,SingleTitle,AnnualSalary,Annual,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,ActiveTitle
6538,DISTRICTING COMMISSION OFFICE,1,10524,29807,ValidSalary,SingleTitle,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
90115,LICENSED BARBER,2,22034,29840,ValidSalary,MultipleTitles,AnnualSalary,Annual,999,DELETED TITLES PER DOP,N/U,Non-Union,DeletedTitle
